name,ra (J2000 hrs),dec (J2000 deg),pmra (mas/yr),pmdec (mas/yr),parallax (mas),rv (km/s),vmag (Johnson V),sptype,vsini,exptime (sec),fauexptime (sec),active,finder,comment
HD61421,7.6550331,5.2249889,-714.59,-1036.8,284.56,3.2,0.37,F5,,60,0.01,1,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=114.8254965&d=5.2249889&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,Procyon
HD1461,0.31163,-8.053,0,0,0,0,6.46,G0,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=4.67445&d=-8.053&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD3651,0.6560573,21.25047,0,0,0,0,5.88,K0,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=9.8408595&d=21.25047&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD3765,0.6803527,40.18717,0,0,0,0,7.36,K2,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=10.2052905&d=40.18717&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD4256,0.7513593,1.78552,0,0,0,0,8.001,K2,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=11.2703895&d=1.78552&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD4614A,0.818414,57.81519,0,0,0,0,3.45,G0,,865,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=12.27621&d=57.81519&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD4614B,0.818414,57.81519,0,0,0,0,3.45,K7,,865,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=12.27621&d=57.81519&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD4628,0.8063827,5.28061,0,0,0,0,5.74,K2,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=12.0957405&d=5.28061&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD4747,0.8241013,-23.21248,0,0,0,0,7.155,G8,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=12.3615195&d=-23.21248&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD4915,0.8530133,-5.03928,0,0,0,0,6.972,G0,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=12.7951995&d=-5.03928&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD7924,1.3664207,76.71028,0,0,0,0,7.185,K0,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=20.4963105&d=76.71028&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD10476,1.7082673,20.2685,0,0,0,0,5.2,K1,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=25.6240095&d=20.2685&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD12051,1.985176,33.20968,0,0,0,0,7.14,G5,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=29.77764&d=33.20968&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD12846,2.1084013,24.33399,0,0,0,0,6.885,G2,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=31.6260195&d=24.33399&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
